Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
US Analyst - Counterparty and Credit Risk Monitoring Administrator,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Fixed-term / Temporary,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-counterparty-and-credit-risk-monitoring-administrator_new-york
FP&A Manager,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,Fully-remote,"Software, Artificial Intelligence / Machine Learning","1,000",last month,https://www.welcometothejungle.com/en/companies/dataiku/jobs/fp-a-manager_new-york
"Applied AI, Technical Lead - Forward Deployed AI Engineer",Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,New York,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,last month,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/applied-ai-technical-lead-forward-deployed-ai-engineer-nyc_new-york
Summer 2026 Intern - Corporate and Leveraged Finance,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/summer-2026-intern-corporate-and-leveraged-finance_new-york
6 months Internship in Strategy & Data Science | New York,Ekimetrics,Solutions d'IA pour une performance business durable.,Internship,New York,A few days at home,"IT / Digital, Strategy",500,last month,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/internship-in-strategy-data-science-new-york_new-york
Operations Director,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services","1,828",last month,https://www.welcometothejungle.com/en/companies/kraken/jobs/director-org-design_new-york
Senior Client Implementation Lead - Operations,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services","1,828",last month,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-client-implementation-lead-operations_new-york
Lead Auditor - Regulatory Compliance,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/lead-auditor-regulatory-compliance_new-york_CAC_mgR0lyw
US Analyst - Risk and Permanent Control Financial Institutions,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Fixed-term / Temporary,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-risk-and-permanent-control-financial-institutions_new-york
"Structured Finance, Transportation Group - Associate",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/structured-finance-transportation-group-associate_new-york
Quality Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,No remote work,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",last month,https://www.welcometothejungle.com/en/companies/socomec/jobs/quality-manager_suwanee
Assistant Manager,LFB,"Biomédicaments pour maladies graves et rares, dérivés du plasma.",Permanent contract,Anniston,No remote work,Pharmaceutical / Biotech,"2,900",last month,https://www.welcometothejungle.com/en/companies/lfb/jobs/assistant-manager_anniston
AI deployment architect - New York,MakiPeople,AI-powered agents that transform HR into a strategic powerhouse.,Permanent contract,New York,No remote work,"Software, SaaS / Cloud Services",50,2 months ago,https://www.welcometothejungle.com/en/companies/maki/jobs/ai-deployment-architect-new-york_new-york
Data Analyst,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,2 months ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/data-analyst_southfield_MI_bgD2Yoy
Plant Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Crystal Lake,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",2 months ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/plant-manager_crystal-lake_SOCOM_rgmNyO
Plant Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Crystal Lake,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",2 months ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/plant-manager_crystal-lake
Sales Intern,Cohabs,International coliving operator and investor based in Brussels.,Internship,New York,Occasional remote,Residential Real Estate,90,2 days ago,https://www.welcometothejungle.com/en/companies/cohabs/jobs/sales-intern_new-york_COHAB_pW4wJab
Program Manager,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Automotive,420,14 hours ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/program-manager_irvine
JLR Program Manager (Nationwide),MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Automotive,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/jlr-program-manager_southfield
VIE US - Sales & Ops Manager - Renewable Energy SaaS,SkyVisor,Solutions logicielles pour la maintenance prédictive des infrastructures énergétiques.,,Dallas,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",20,10 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/us-based-business-developer_paris
Senior Accounts Manager New York,Frenchfounders,Club de décideurs et dirigeants francophones pour l'intermédiation business.,Permanent contract,New York,Occasional remote,,65,22 days ago,https://www.welcometothejungle.com/en/companies/frenchfounders/jobs/senior-accounts-manager-new-york_new-york
"Sales Engineer, Private Networks - Chicago",Forsk,Logiciels de radio planning et d'optimisation des réseaux mobiles.,Permanent contract,Chicago,A few days at home,"Software, Electronics / Telecommunications",150,last month,https://www.welcometothejungle.com/en/companies/forsk/jobs/sales-engineer-private-networks-chicago_chicago
Food Industry Ingredients Sourcing Manager,Hubcycle,Ingrédients végétaux upcyclés pour l'industrie agroalimentaire.,Permanent contract,Chicago,,"Environment / Sustainable Development, Agri-food / Animal Nutrition",30,last month,https://www.welcometothejungle.com/en/companies/hubcycle/jobs/food-industry-ingredients-sourcing-manager_chicago
Customer Experience Intern,Cohabs,International coliving operator and investor based in Brussels.,Internship,New York,No remote work,Residential Real Estate,90,2 days ago,https://www.welcometothejungle.com/en/companies/cohabs/jobs/customer-experience-intern_new-york_COHAB_ZqXAN4y
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Automotive,420,14 hours ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_mahwah
Field Consultant,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-consultant_southfield_MI_lGpy711
Solutions Leader,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Chesterton,,Automotive,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/solutions-leader_chester
Sales & Marketing Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Fountain Valley,,Automotive,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/wholesale-parts-coach_irvine
US Enterprise Account Executive,Sifflet,Full Data Stack Observability platform for trusted data and decision-making.,Permanent contract,New York,Fully-remote,"Artificial Intelligence / Machine Learning, SaaS / Cloud Services",,2 days ago,https://www.welcometothejungle.com/en/companies/sifflet/jobs/us-enterprise-account-executive_new-york
Litigation Support Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Temecula,,Automotive,420,3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/litigation-support-specialist_temecula
Accessory Quality Engineer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Automotive,420,3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/accessory-quality-engineer_irvine
Automotive Technical Advisor/Mechanic,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-consultant_irvine
Field Service Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-service-specialist_san-francisco
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Philadelphia,,Automotive,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fixed-operations-field-specialist_medford
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Detroit,,Automotive,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_southfield_MI_1j573x
Technical Training Instructor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Automotive,420,6 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/technical-training-instructor_irvine_MI_V7y3DPk
Field Service Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tarzana,,Automotive,420,7 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-service-specialist_san-diego_MI_DMxOYeX
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Automotive,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_southfield_MI_orVkWA
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Milwaukee,,Automotive,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-operations-specialist_milwaukee
Ford Connected Services Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive,420,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/ford-connected-services-trainer_san-francisco
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Albany,,Automotive,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_albany_MI_QRZKAQY
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,St Louis,,Automotive,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-tire-coach_st-louis
